[06/Nov/2015 12:50:27 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:50:27 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:50:55 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:50:55 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:51:24 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:51:24 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:51:51 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:51:51 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:52:30 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:52:30 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:53:07 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:53:08 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:53:23 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:53:24 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:53:48 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:53:48 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:54:21 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:54:21 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:55:31 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:55:31 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:56:02 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:56:02 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:56:18 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:56:18 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:56:50 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:56:51 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:57:02 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:57:02 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:57:45 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:57:46 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:58:14 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:58:14 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:58:46 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:58:47 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:59:36 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:59:36 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 12:59:57 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 17:59:58 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:00:13 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:00:14 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:00:19 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:00:20 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:01:27 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:01:28 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:01:59 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:02:00 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:02:06 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:02:06 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:03:05 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:03:05 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:04:04 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:04:04 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:05:09 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:05:09 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:08:21 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:08:22 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:08:49 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:08:49 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:09:00 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:09:00 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:09:14 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:09:14 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:09:55 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:09:56 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 13:10:40 ] settings     INFO     Welcome to Hue 3.7.0
[06/Nov/2015 18:10:41 +0000] __init__     WARNING  Couldn't import snappy. Support for snappy compression disabled.
[06/Nov/2015 18:10:42 +0000] models       WARNING  Object sqoop_export_am_usage_report - biuser already has documents: [<Document: workflow sqoop_export_am_usage_report biuser>]
[06/Nov/2015 18:10:42 +0000] models       WARNING  Object ste_export_finished_sessions - biuser already has documents: [<Document: workflow ste_export_finished_sessions biuser>]
[06/Nov/2015 18:10:42 +0000] models       WARNING  Object sqoop_exp_ste_masterdata - biuser already has documents: [<Document: workflow sqoop_exp_ste_masterdata biuser>]
[06/Nov/2015 18:10:42 +0000] models       WARNING  Object master_yelo_replay - biuser already has documents: [<Document: workflow master_yelo_replay biuser>]
[06/Nov/2015 18:10:42 +0000] models       WARNING  Object e2e_stagis - biuser already has documents: [<Document: workflow e2e_stagis biuser>]
[06/Nov/2015 18:10:42 +0000] models       WARNING  Object sqoop_imp_exphdp_dna_crm_fields - biuser already has documents: [<Document: workflow sqoop_imp_exphdp_dna_crm_fields biuser>]
[06/Nov/2015 18:10:42 +0000] models       WARNING  Object sqoop_imp_exphdp_dna_productmix_and_play - biuser already has documents: [<Document: workflow sqoop_imp_exphdp_dna_productmix_and_play biuser>]
[06/Nov/2015 18:10:42 +0000] models       WARNING  Object sqoop_imp_exphdp_dna_svod - biuser already has documents: [<Document: workflow sqoop_imp_exphdp_dna_svod biuser>]
[06/Nov/2015 18:10:42 +0000] models       WARNING  Object sqoop_imp_exphdp_dna_content_sales - biuser already has documents: [<Document: workflow sqoop_imp_exphdp_dna_content_sales biuser>]
